name,username,main_occupation,secondary_occupation,institution 
Elizabeth Castillo,@EcastilloVa,activist,,
Camila Cadavid,@lacadavidc,activist,,
Beatriz Quintero,@Bqueenter,activist,,Red Nacional de las Mujeres
Claudia Mejia,@ClaudiaMejiaD1,activist,,
Ita María,"@itamaria83
",activist ,,
Matida González Gil,@matigonzalezgil ,activist ,,
Marcela Sánchez,@marcela_s_b,activist ,,
La Princesa Machorra,@intransitif92,activist ,,
Juliana Abaunza ,@JulianaAbaunza,activist ,,
Rodrigo Sandoval,@Elbayabuyiba,activist ,,
Mema Carrillo,@PrincesaSamaria,activist ,,
Margarita rosa ,@Margaritarosadf,actress,writer,
Alejandra Borrero ,@alejaoficial,actress,,
Manuela Besada,@ManuelaBesada,artist ,,
Victoria Sandino,@SandinoVictoria,congressperson,,
Adriana Magali Matiz,@AdrianaMatizTol,congressperson,,Comisión Legal para la Equidad de la Mujer
Ángela María Robledo,@angelamrobledo,congressperson,,Comisión Legal para la Equidad de la Mujer
Aida Avella ,@AidaAvellaE,congressperson,,Comisión Legal para la Equidad de la Mujer
Ana María Castañeda,@AnyMarCas,congressperson,,Comisión Legal para la Equidad de la Mujer
Ana Paola Aguelo ,@AnaPaolaAgudelo,congressperson,,Comisión Legal para la Equidad de la Mujer
Amanda Rocío González ,@AmandaRocioGon1,congressperson,,Comisión Legal para la Equidad de la Mujer
Esperanza Andrade Serrano,@EsperanzaSenado,congressperson,,Comisión Legal para la Equidad de la Mujer
Laura Fortich Sánchez,@laurafortichsan,congressperson,,Comisión Legal para la Equidad de la Mujer
Maritza Martínez Aristizábal,@Maritza_Senado,congressperson,,Comisión Legal para la Equidad de la Mujer
Nora María García Burgos,@noragarciab,congressperson,,Comisión Legal para la Equidad de la Mujer
Ruby Chagüi,@Rubychagui,congressperson,,Comisión Legal para la Equidad de la Mujer
Sandra Liliana Ortiz Nova,@Rubychagui,congressperson,,Comisión Legal para la Equidad de la Mujer
Sandra Ortiz,@SandraOrtizN,congressperson,,Comisión Legal para la Equidad de la Mujer
Gloria Betty Zorro Africano,@BettyZorro,congressperson,,Comisión Legal para la Equidad de la Mujer
Irma Luz Herrera Rodríguez,@irmalherrera,congressperson,,Comisión Legal para la Equidad de la Mujer
Jennifer Kristin Arias Falla,@JenniferAriasF,congressperson,,Comisión Legal para la Equidad de la Mujer
Jezmi Lizeth Barraza Arraut,@JezBarraza,congressperson,,Comisión Legal para la Equidad de la Mujer
Karen Cure,@KarenCureC,congressperson,,Comisión Legal para la Equidad de la Mujer
Mónica Liliana Valencia Montaña,@ValenciaMonicaL,congressperson,,Comisión Legal para la Equidad de la Mujer
Norma Hurtado Sánchez,@normahurtados,congressperson,,Comisión Legal para la Equidad de la Mujer
Alejandra Miller ,@AlejamillerR,economist,,Comisión de la Verdad 
Cristina Velez,@CristinaVelezV,policymaker,historian ,Fue antes Secretaria de la Mujer (Bogota)
Lorena Beltrán,"@LoreBeltran
",journalist,,
Catalina Ruíz Navarro,@catalinapordios,journalist,,
Matilde de los Milagros Londoño,@MatildeyMilagro,journalist,,
Sara Tufano,@SaraTufanoZ,journalist,,
Helena Calle,@helenanodepatio,journalist,,
Camila Builes,@CamilaLaBuiles,journalist,,
Silvia Juliana Suárez ,@silviajulianaa,journalist,,
Nathalia Guerrero,@nxthxchxs,journalist,,
Johana Fuentes,@JohaFuentes,journalist,,
Diana López Zuleta,@dianalzuleta,journalist,,
Ana Cristina Restrepo,@anacrisrestrepo,journalist,,
Melissa de la Hoz,@MelissaDelahoz,journalist,,
Sara Tufano,@SaraTufanoZ,journalist,,
Mariángela Urbina ,@mariangelauc,journalist,,
María Paulina Baena,@mapatilla,journalist,,
Juan Carlos Rincón Escalante,@jkrincon,journalist,,
Claudia Palacios ,@claudiapalacios,journalist,,
Viviana Bohórquez,@Viviana_bo,lawyer,,
Mónica Roa,@MonicaRoa,lawyer,activist ,
Nina Chaparro,@ninachaparro,lawyer,activist ,
María Ximena Dávila,@mariaxdavila,lawyer,,
Helena Hernández,@Helena77Hdez,lawyer,,
Isabel Agatón,@isabelagaton,lawyer,activist/writer,Promotora Ley Rosa Elvira Cely
Ángela Anzola De Toro,@AnzolaDeToro,policymaker,,
Soraya Galvis Cobo,@sorygalvis,policymaker,,Secretaria de la Mujer en Partido Conservador 
Diana Rodriguez Franco,@drodriguezfr,policymaker,,Secretaria de la Mujer (Bogota)
Gheidy Gallo Santos,@GheidyGallo,policymaker,,Consejera Presidencial para la Equidad de la Mujer
Isabel Cristina Jaramillo,@ijaramil,professor,lawyer,
María Camila Correa ,@MKamilaC,professor,lawyer,
Florence Thomas ,@Florencemujer1,writer,,
Carolina Sanín,@SaninPazC,writer ,,
Vanessa rosales,"@VanessaRosales_
",writer ,,
Maria del Mar Ramón,@DelMarR_V,writer ,,
Diana Salinas,@DianaSalinasP,writer ,,
Gloria Susana Esquivel ,@gsesquivel,writer ,journalist ,
